time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.0286,-146.4276,-146.4309,-146.4407,-146.4571,-146.4798,-146.5089,-146.5442,-146.5854,-146.6325
0.0288,-144.0954,-144.0996,-144.1124,-144.1336,-144.1632,-144.2011,-144.247,-144.3008,-144.3623
0.029,-141.1945,-141.1997,-141.2154,-141.2416,-141.2781,-141.3248,-141.3814,-141.4479,-141.524
0.0292,-137.7363,-137.7426,-137.7613,-137.7924,-137.8358,-137.8914,-137.9589,-138.0381,-138.1287
0.0294,-133.7346,-133.7418,-133.7635,-133.7996,-133.85,-133.9144,-133.9927,-134.0847,-134.1899
0.0296,-129.2051,-129.2133,-129.238,-129.279,-129.3363,-129.4096,-129.4987,-129.6033,-129.7231
0.0298,-124.1656,-124.1748,-124.2025,-124.2484,-124.3125,-124.3946,-124.4944,-124.6116,-124.7459
0.03,-118.6362,-118.6463,-118.6769,-118.7277,-118.7986,-118.8893,-118.9997,-119.1293,-119.2778
0.0302,-112.6385,-112.6496,-112.683,-112.7386,-112.8161,-112.9154,-113.0361,-113.178,-113.3405
0.0304,-106.1963,-106.2084,-106.2446,-106.3048,-106.3888,-106.4964,-106.6273,-106.781,-106.9572
0.0306,-99.335,-99.348,-99.3869,-99.4516,-99.5419,-99.6576,-99.7983,-99.9637,-100.1531
0.0308,-92.0817,-92.0955,-92.137,-92.2061,-92.3025,-92.426,-92.5763,-92.7528,-92.955
0.031,-84.4649,-84.4796,-84.5237,-84.5969,-84.6992,-84.8302,-84.9895,-85.1767,-85.3913
0.0312,-76.5148,-76.5303,-76.5768,-76.654,-76.7618,-76.8999,-77.0679,-77.2653,-77.4916
0.0314,-68.2628,-68.279,-68.3277,-68.4087,-68.5218,-68.6666,-68.8428,-69.0498,-69.2871
0.0316,-59.7413,-59.7583,-59.8091,-59.8936,-60.0115,-60.1626,-60.3465,-60.5625,-60.8101
0.0318,-50.9841,-51.0017,-51.0544,-51.1422,-51.2647,-51.4216,-51.6125,-51.8368,-52.094
0.032,-42.0257,-42.0439,-42.0984,-42.1891,-42.3157,-42.4778,-42.6752,-42.9071,-43.1729
