time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.0212,89.0128,89.0128,89.0128,89.0128,89.0128,89.0128
0.0214,81.2562,81.2562,81.2562,81.2562,81.2562,81.2562
0.0216,73.1789,73.1789,73.1789,73.1789,73.1789,73.1789
0.0218,64.8129,64.8129,64.8129,64.8129,64.8129,64.8129
0.022,56.191,56.191,56.191,56.191,56.191,56.191
0.0222,47.3474,47.3474,47.3474,47.3474,47.3474,47.3474
0.0224,38.3169,38.3169,38.3169,38.3169,38.3169,38.3169
0.0226,29.1352,29.1352,29.1352,29.1352,29.1352,29.1352
0.0228,19.8385,19.8385,19.8385,19.8385,19.8385,19.8385
0.023,10.4635,10.4635,10.4635,10.4635,10.4635,10.4635
0.0232,1.0472,1.0472,1.0472,1.0472,1.0472,1.0472
0.0234,-8.3732,-8.3732,-8.3732,-8.3732,-8.3732,-8.3732
0.0236,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606
0.0238,-27.0779,-27.0779,-27.0779,-27.0779,-27.0779,-27.0779
0.024,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883
0.0242,-45.3555,-45.3555,-45.3555,-45.3555,-45.3555,-45.3555
0.0244,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437
0.0246,-62.9178,-62.9178,-62.9178,-62.9178,-62.9178,-62.9178
0.0248,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436
0.025,-79.4879,-79.4879,-79.4879,-79.4879,-79.4879,-79.4879
0.0252,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184
0.0254,-94.8044,-94.8044,-94.8044,-94.8044,-94.8044,-94.8044
0.0256,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162
0.0258,-108.6258,-108.6258,-108.6258,-108.6258,-108.6258,-108.6258
0.026,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067
0.0262,-120.7341,-120.7341,-120.7341,-120.7341,-120.7341,-120.7341
0.0264,-126.085,-126.085,-126.085,-126.085,-126.085,-126.085
0.0266,-130.9383,-130.9383,-130.9383,-130.9383,-130.9383,-130.9383
0.0268,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749
0.027,-139.0776,-139.0776,-139.0776,-139.0776,-139.0776,-139.0776
0.0272,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314
0.0274,-145.0235,-145.0235,-145.0235,-145.0235,-145.0235,-145.0235
0.0276,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433
0.0278,-148.6823,-148.6823,-148.6823,-148.6823,-148.6823,-148.6823
0.028,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346
0.0282,-149.9963,-149.9963,-149.9963,-149.9963,-149.9963,-149.9963
0.0284,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661
0.0286,-148.9448,-148.9448,-148.9448,-148.9448,-148.9448,-148.9448
0.0288,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357
0.029,-145.5444,-145.5444,-145.5444,-145.5444,-145.5444,-145.5444
0.0292,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786
0.0294,-139.8486,-139.8486,-139.8486,-139.8486,-139.8486,-139.8486
0.0296,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666
0.0298,-131.9473,-131.9473,-131.9473,-131.9473,-131.9473,-131.9473
0.03,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072
0.0302,-121.9651,-121.9651,-121.9651,-121.9651,-121.9651,-121.9651
0.0304,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417
0.0306,-110.0595,-110.0595,-110.0595,-110.0595,-110.0595,-110.0595
0.0308,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429
0.031,-96.4181,-96.4181,-96.4181,-96.4181,-96.4181,-96.4181
0.0312,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128
0.0314,-81.2562,-81.2562,-81.2562,-81.2562,-81.2562,-81.2562
0.0316,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789
