time(s),10ms,40ms,70ms,100ms
0.0996,136.173,147.3595,168.7049,186.0294
0.1,127.2133,138.2887,159.5601,176.8709
0.1004,116.2476,127.2129,148.4102,165.7071
0.1008,103.4486,114.305,135.4282,152.7109
0.1012,89.0183,99.7668,120.8158,138.0842
0.1016,73.1842,83.8259,104.8007,122.0544
0.102,56.196,66.732,87.6326,104.8713
0.1024,38.3217,48.753,69.5793,86.8028
0.1028,19.8431,30.1708,50.9228,68.1309
0.1032,1.0516,11.2767,31.9544,49.1468
0.1036,-17.7563,-7.6329,12.9705,30.147
0.104,-36.2842,-26.2614,-5.7323,11.4281
0.1044,-54.2397,-44.3165,-23.8618,-6.7178
0.1048,-71.3398,-61.5152,-41.1349,-24.0075
0.1052,-87.3148,-77.5879,-57.2818,-40.1712
0.1056,-101.9127,-92.2824,-72.0507,-54.9572
0.106,-114.9033,-105.3688,-85.2114,-68.1351
0.1064,-126.0818,-116.642,-96.5589,-79.5002
0.1068,-135.2718,-125.9258,-105.917,-88.876
0.1072,-142.3284,-133.0754,-113.1408,-96.1178
0.1076,-147.1404,-137.9793,-118.119,-101.1141
0.108,-149.6319,-140.5619,-120.7757,-103.7892
0.1084,-149.7635,-140.7836,-121.0717,-104.1037
0.1088,-147.5332,-138.6426,-119.0048,-102.0556
0.1092,-142.9762,-134.174,-114.6102,-97.6801
0.1096,-136.1643,-127.4496,-107.9599,-91.0489
0.11,-127.205,-118.577,-99.1612,-82.2696
0.1104,-116.2395,-107.6973,-88.3555,-71.4835
0.1108,-103.4409,-94.9836,-75.7156,-58.8634
0.1112,-89.0108,-80.6376,-61.4435,-44.6113
0.1116,-73.177,-64.8871,-45.7667,-28.9546
0.112,-56.1891,-47.9816,-28.935,-12.1432
0.1124,-38.3151,-30.1892,-11.2161,5.5551
0.1128,-19.8368,-11.7917,7.1078,23.8583
0.1132,-1.0456,6.9195,25.7456,42.4752
0.1136,17.7622,25.6481,44.4007,61.1092
0.114,36.2898,44.0973,62.7766,79.4639
0.1144,54.2451,61.975,80.5811,97.2469
0.1148,71.345,78.998,97.5309,114.1752
0.1152,87.3198,94.8966,113.3565,129.979
0.1156,101.9175,109.419,127.8059,144.4065
0.116,114.9079,122.3348,140.6489,157.2273
0.1164,126.0862,133.4392,151.6805,168.2367
0.1168,135.276,142.5559,160.7246,177.2583
0.1172,142.3325,149.54,167.6361,184.1472
0.1176,147.1443,154.2801,172.3038,188.7922
0.118,149.6356,156.7005,174.6517,191.1172
0.1184,149.7671,156.7617,174.6407,191.0831
0.1188,147.5367,154.4617,172.2686,188.6878
0.1192,142.9795,149.8356,167.5705,183.9664
0.1196,136.1675,142.9554,160.6184,176.9908
0.12,127.208,133.9285,151.5197,167.8684
0.1204,116.2425,122.896,140.4156,156.7406
0.1208,103.4437,110.0311,127.4791,143.7802
0.1212,89.0136,95.5354,112.9121,129.189
0.1216,73.1797,79.6367,96.942,113.1948
0.122,56.1917,62.5844,79.8186,96.0471
0.1224,38.3175,44.6467,61.8099,78.0138
0.1228,19.8391,26.1053,43.1976,59.377
0.1232,1.0478,7.2517,24.2732,40.4278
0.1236,-17.76,-11.6178,5.3331,21.4629
0.124,-36.2877,-30.2066,-13.3262,2.7786
0.1244,-54.2432,-48.2226,-31.4124,-15.3328
0.1248,-71.3431,-65.3824,-48.6424,-32.5881
0.1252,-87.318,-81.4165,-64.7466,-48.7176
0.1256,-101.9157,-96.073,-79.473,-63.4694
0.126,-114.9062,-109.1216,-92.5913,-76.6134
0.1264,-126.0846,-120.3575,-103.8968,-87.9446
0.1268,-135.2745,-129.6044,-113.2131,-97.2867
0.1272,-142.331,-136.7173,-120.3953,-104.4949
0.1276,-147.1429,-141.5851,-125.3322,-109.4578
0.128,-149.6342,-144.1317,-127.9478,-112.0996
0.1284,-149.7658,-144.318,-128.2029,-112.3809
0.1288,-147.5354,-142.1418,-126.0954,-110.2998
0.1292,-142.9783,-137.6383,-121.6604,-105.8913
0.1296,-136.1663,-130.8795,-114.9699,-99.2274
0.13,-127.2069,-121.9727,-106.1313,-90.4154
0.1304,-116.2414,-111.0592,-95.2858,-79.5968
0.1308,-103.4426,-98.3121,-82.6065,-66.9443
0.1312,-89.0126,-83.933,-68.2951,-52.6599
0.1316,-73.1787,-68.1497,-52.5793,-36.9711
0.132,-56.1907,-51.2118,-35.7087,-20.1277
0.1324,-38.3166,-33.3872,-17.9513,-2.3976
0.1328,-19.8382,-14.9578,0.4111,15.9375
0.1332,-1.047,3.7849,19.087,34.5859
