time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.0496,-158.7094,-158.6656,-158.5346,-158.3171,-158.0144,-157.6284,-157.1614,-156.6163,-155.9963
0.05,-151.8833,-151.8407,-151.7133,-151.5018,-151.2075,-150.8323,-150.3784,-149.8486,-149.2463
0.0504,-142.7095,-142.6689,-142.5472,-142.3453,-142.0644,-141.7063,-141.2732,-140.7678,-140.1933
0.0508,-131.3299,-131.2919,-131.1781,-130.9894,-130.7268,-130.3921,-129.9874,-129.5153,-128.9787
0.0512,-117.9202,-117.8856,-117.7818,-117.6097,-117.3703,-117.0651,-116.6962,-116.2658,-115.7769
0.0516,-102.6879,-102.6572,-102.5655,-102.4132,-102.2015,-101.9317,-101.6055,-101.2252,-100.7931
0.052,-85.8682,-85.8422,-85.7643,-85.635,-85.4553,-85.2262,-84.9494,-84.6266,-84.2601
0.0524,-67.7213,-67.7005,-67.6381,-67.5346,-67.3907,-67.2073,-66.9857,-66.7274,-66.4342
0.0528,-48.5277,-48.5125,-48.4671,-48.3918,-48.2871,-48.1537,-47.9926,-47.8048,-47.5917
0.0532,-28.5839,-28.5748,-28.5477,-28.5026,-28.4401,-28.3603,-28.264,-28.1518,-28.0245
0.0536,-8.1983,-8.1956,-8.1877,-8.1746,-8.1564,-8.1332,-8.1052,-8.0725,-8.0355
0.054,12.3141,12.31,12.298,12.278,12.2502,12.2149,12.1722,12.1225,12.0661
0.0544,32.636,32.6252,32.5928,32.5391,32.4644,32.3693,32.2546,32.1209,31.9694
0.0548,52.4536,52.4359,52.3831,52.2955,52.1737,52.0187,51.8316,51.6138,51.3669
0.0552,71.4603,71.4359,71.3629,71.2418,71.0735,70.8593,70.6008,70.3,69.9591
0.0556,89.3625,89.3315,89.2389,89.0852,88.8718,88.6001,88.2724,87.891,87.4589
0.056,105.8834,105.8462,105.7348,105.5501,105.2936,104.9673,104.5735,104.1155,103.5967
0.0564,120.7676,120.7245,120.5957,120.3821,120.0854,119.708,119.2527,118.7232,118.1237
0.0568,133.7851,133.7367,133.592,133.352,133.0187,132.5948,132.0836,131.4892,130.8163
0.0572,144.7346,144.6816,144.5228,144.2595,143.894,143.4291,142.8685,142.2169,141.4794
0.0576,153.447,153.39,153.2193,152.9363,152.5434,152.0438,151.4415,150.7415,149.9495
0.058,159.7875,159.7273,159.5471,159.2483,158.8336,158.3063,157.6707,156.9323,156.097
0.0584,163.6582,163.5956,163.4085,163.0983,162.6678,162.1204,161.4609,160.6947,159.8283
0.0588,164.9991,164.9352,164.744,164.427,163.987,163.4278,162.7542,161.9718,161.0873
0.0592,163.7897,163.7254,163.5329,163.214,162.7714,162.209,161.5315,160.7449,159.856
0.0596,160.0485,159.9848,159.7942,159.4784,159.0402,158.4834,157.8128,157.0344,156.155
