time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.108,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346
0.1084,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661
0.1088,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357
0.1092,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786
0.1096,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666
0.11,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072
0.1104,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417
0.1108,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429
0.1112,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128
0.1116,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789
0.112,-56.191,-56.191,-56.191,-56.191,-56.191,-56.191
0.1124,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169
0.1128,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385
0.1132,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472
0.1136,17.7606,17.7606,17.7606,17.7606,17.7606,17.7606
0.114,36.2883,36.2883,36.2883,36.2883,36.2883,36.2883
0.1144,54.2437,54.2437,54.2437,54.2437,54.2437,54.2437
0.1148,71.3436,71.3436,71.3436,71.3436,71.3436,71.3436
0.1152,87.3184,87.3184,87.3184,87.3184,87.3184,87.3184
0.1156,101.9162,101.9162,101.9162,101.9162,101.9162,101.9162
0.116,114.9067,114.9067,114.9067,114.9067,114.9067,114.9067
0.1164,126.085,126.085,126.085,126.085,126.085,126.085
0.1168,135.2749,135.2749,135.2749,135.2749,135.2749,135.2749
0.1172,142.3314,142.3314,142.3314,142.3314,142.3314,142.3314
0.1176,147.1433,147.1433,147.1433,147.1433,147.1433,147.1433
0.118,149.6346,149.6346,149.6346,149.6346,149.6346,149.6346
0.1184,149.7661,149.7661,149.7661,149.7661,149.7661,149.7661
0.1188,147.5357,147.5357,147.5357,147.5357,147.5357,147.5357
0.1192,142.9786,142.9786,142.9786,142.9786,142.9786,142.9786
0.1196,136.1666,136.1666,136.1666,136.1666,136.1666,136.1666
0.12,111.4717,127.2072,127.2072,127.2072,127.2072,127.2072
0.1204,98.0131,116.2417,116.2417,116.2417,116.2417,116.2417
0.1208,83.0087,103.4429,103.4429,103.4429,103.4429,103.4429
0.1212,66.6953,89.0128,89.0128,89.0128,89.0128,89.0128
0.1216,49.33,73.1789,73.1789,73.1789,73.1789,73.1789
0.122,31.1868,56.191,56.191,56.191,56.191,56.191
0.1224,12.5517,38.3169,38.3169,38.3169,38.3169,38.3169
0.1228,-6.2813,19.8385,19.8385,19.8385,19.8385,19.8385
0.1232,-25.0153,1.0472,1.0472,1.0472,1.0472,1.0472
0.1236,-43.3548,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606
0.124,-61.0105,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883
0.1244,-77.7041,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437
0.1248,-93.1722,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436
0.1252,-107.1709,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184
0.1256,-119.4795,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162
0.126,-129.9038,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067
0.1264,-138.2795,-126.085,-126.085,-126.085,-126.085,-126.085
0.1268,-144.4744,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749
0.1272,-148.3908,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314
0.1276,-149.9671,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433
0.128,-149.1783,-149.1783,-149.6346,-149.6346,-149.6346,-149.6346
0.1284,-146.0368,-146.0368,-149.7661,-149.7661,-149.7661,-149.7661
0.1288,-140.5923,-140.5923,-147.5357,-147.5357,-147.5357,-147.5357
0.1292,-132.9305,-132.9305,-142.9786,-142.9786,-142.9786,-142.9786
0.1296,-123.1724,-123.1724,-136.1666,-136.1666,-136.1666,-136.1666
0.13,-111.4717,-111.4717,-127.2072,-127.2072,-127.2072,-127.2072
0.1304,-98.0131,-98.0131,-116.2417,-116.2417,-116.2417,-116.2417
0.1308,-83.0087,-83.0087,-103.4429,-103.4429,-103.4429,-103.4429
