time(s),48.0Hz,48.25Hz,48.5Hz,48.75Hz,49.0Hz,49.25Hz,49.5Hz,49.75Hz,50.0Hz,50.25Hz,50.5Hz,50.75Hz,51.0Hz,51.25Hz,51.5Hz,51.75Hz,52.0Hz
0.0082,-149.093,-149.2928,-149.4678,-149.618,-149.7434,-149.8439,-149.9196,-149.9704,-149.9963,-149.9974,-149.9735,-149.9248,-149.8512,-149.7528,-149.6295,-149.4814,-149.3084
0.0084,-149.8147,-149.9,-149.9592,-149.9923,-149.9993,-149.9802,-149.9349,-149.8636,-149.7661,-149.6426,-149.493,-149.3174,-149.1158,-148.8883,-148.6348,-148.3555,-148.0503
0.0086,-149.9916,-149.9564,-149.8938,-149.8039,-149.6867,-149.5421,-149.3703,-149.1712,-148.9448,-148.6913,-148.4107,-148.103,-147.7682,-147.4065,-147.0179,-146.6024,-146.1602
0.0088,-149.6228,-149.4616,-149.2718,-149.0535,-148.8067,-148.5315,-148.2278,-147.8959,-147.5357,-147.1473,-146.7308,-146.2863,-145.8138,-145.3135,-144.7854,-144.2296,-143.6463
0.009,-148.7099,-148.4175,-148.0955,-147.7438,-147.3627,-146.9521,-146.5121,-146.0428,-145.5444,-145.0168,-144.4603,-143.8749,-143.2608,-142.618,-141.9467,-141.247,-140.5192
0.0092,-147.2561,-146.828,-146.3692,-145.8799,-145.3601,-144.81,-144.2296,-143.6191,-142.9786,-142.3082,-141.6082,-140.8785,-140.1195,-139.3311,-138.5137,-137.6674,-136.7922
0.0094,-145.2666,-144.6988,-144.0994,-143.4687,-142.8066,-142.1134,-141.3892,-140.6342,-139.8486,-139.0324,-138.186,-137.3094,-136.4028,-135.4666,-134.5008,-133.5057,-132.4814
0.0096,-142.7488,-142.0378,-141.2946,-140.5192,-139.7118,-138.8727,-138.002,-137.0999,-136.1666,-135.2024,-134.2074,-133.1819,-132.1262,-131.0404,-129.9247,-128.7796,-127.6052
0.0098,-139.7118,-138.8549,-137.965,-137.0425,-136.0874,-135.1002,-134.0809,-133.0299,-131.9473,-130.8334,-129.6886,-128.513,-127.307,-126.0708,-124.8047,-123.5091,-122.1842
0.01,-136.1666,-135.1616,-134.1231,-133.0516,-131.9473,-130.8104,-129.6412,-128.4401,-127.2072,-125.943,-124.6477,-123.3216,-121.9651,-120.5785,-119.1622,-117.7165,-116.2417
0.0102,-132.1262,-130.9715,-129.7832,-128.5616,-127.307,-126.0197,-124.7001,-123.3484,-121.9651,-120.5505,-119.1049,-117.6288,-116.1224,-114.5863,-113.0207,-111.4262,-109.803
0.0104,-127.6052,-126.3001,-124.9614,-123.5893,-122.1842,-120.7465,-119.2766,-117.7748,-116.2417,-114.6775,-113.0827,-111.4577,-109.803,-108.119,-106.4061,-104.6648,-102.8956
0.0106,-122.62,-121.1645,-119.6755,-118.1532,-116.5983,-115.0109,-113.3917,-111.7411,-110.0595,-108.3474,-106.6052,-104.8335,-103.0327,-101.2033,-99.3459,-97.461,-95.549
0.0108,-117.1889,-115.5837,-113.9452,-112.2739,-110.5704,-108.835,-107.0683,-105.2708,-103.4429,-101.5853,-99.6985,-97.783,-95.8393,-93.8681,-91.8698,-89.8452,-87.7946
0.011,-111.3315,-109.578,-107.7918,-105.9734,-104.1234,-102.2423,-100.3307,-98.3891,-96.4181,-94.4184,-92.3905,-90.335,-88.2525,-86.1437,-84.0091,-81.8495,-79.6654
0.0112,-105.0691,-103.1696,-101.2381,-99.2753,-97.2818,-95.2581,-93.205,-91.123,-89.0128,-86.8751,-84.7105,-82.5196,-80.3033,-78.062,-75.7967,-73.5078,-71.1962
0.0114,-98.4247,-96.382,-94.3085,-92.2047,-90.0714,-87.9092,-85.7188,-83.5009,-81.2562,-78.9855,-76.6895,-74.3688,-72.0243,-69.6568,-67.2668,-64.8554,-62.4231
0.0116,-91.4222,-89.2403,-87.0287,-84.7882,-82.5196,-80.2237,-77.901,-75.5525,-73.1789,-70.7811,-68.3597,-65.9156,-63.4497,-60.9627,-58.4554,-55.9287,-53.3835
0.0118,-84.0872,-81.7705,-79.4257,-77.0537,-74.6551,-72.2309,-69.7819,-67.309,-64.8129,-62.2945,-59.7547,-57.1944,-54.6145,-52.0158,-49.3992,-46.7657,-44.1161
0.012,-76.4463,-74.0002,-71.5278,-69.03,-66.5076,-63.9616,-61.3929,-58.8024,-56.191,-53.5596,-50.9092,-48.2407,-45.5551,-42.8533,-40.1362,-37.4049,-34.6603
0.0122,-68.5274,-65.958,-63.3643,-60.7473,-58.108,-55.4474,-52.7664,-50.0661,-47.3474,-44.6112,-41.8587,-39.0908,-36.3086,-33.513,-30.7052,-27.886,-25.0566
0.0124,-60.3593,-57.6733,-54.9654,-52.2367,-49.4882,-46.7209,-43.9359,-41.1342,-38.3169,-35.485,-32.6397,-29.782,-26.9131,-24.0339,-21.1456,-18.2492,-15.346
0.0126,-51.9716,-49.1767,-46.3625,-43.5302,-40.6808,-37.8155,-34.9353,-32.0415,-29.1352,-26.2174,-23.2893,-20.3521,-17.407,-14.455,-11.4974,-8.5353,-5.5698
0.0128,-43.3949,-40.4993,-37.5874,-34.6603,-31.7192,-28.7652,-25.7997,-22.8237,-19.8385,-16.8452,-13.8452,-10.8395,-7.8295,-4.8163,-1.8011,1.2147,4.2301
0.013,-34.6603,-31.6731,-28.6727,-25.6604,-22.6374,-19.6049,-16.5642,-13.5167,-10.4635,-7.4059,-4.3453,-1.2828,1.7802,4.8424,7.9027,10.9596,14.012
0.0132,-25.7997,-22.7305,-19.6516,-16.5642,-13.4697,-10.3695,-7.2647,-4.1568,-1.0472,2.0629,5.1721,8.2791,11.3826,14.4811,17.5734,20.6582,23.7341
0.0134,-16.8452,-13.7044,-10.5575,-7.4059,-4.2511,-1.0943,2.0629,5.2192,8.3732,11.5235,14.6687,17.8074,20.9382,24.0597,27.1706,30.2694,33.3548
0.0136,-7.8295,-4.6279,-1.4242,1.7802,4.9837,8.185,11.3826,14.5749,17.7606,20.9382,24.1062,27.2632,30.4078,33.5386,36.654,39.7526,42.8332
0.0138,1.2147,4.4656,7.7144,10.9596,14.1996,17.433,20.6582,23.8736,27.0779,30.2694,33.4467,36.6083,39.7526,42.8783,45.9839,49.0678,52.1287
0.014,10.2545,13.5427,16.8244,20.0979,23.3617,26.6142,29.8539,33.0791,36.2883,39.4799,42.6525,45.8044,48.9342,52.0403,55.1213,58.1756,61.2018
0.0142,19.257,22.5701,25.8719,29.1608,32.4353,35.6936,38.9341,42.1553,45.3555,48.5331,51.6866,54.8144,57.9149,60.9866,64.0279,67.0374,70.0136
0.0144,28.1895,31.5145,34.8233,38.1143,41.3859,44.6362,47.8637,51.0668,54.2437,57.3928,60.5126,63.6015,66.6578,69.6799,72.6665,75.6158,78.5265
0.0146,37.0194,40.343,43.6454,46.9248,50.1796,53.408,56.6082,59.7787,62.9178,66.0238,69.095,72.13,75.1269,78.0844,81.0008,83.8746,86.7043
0.0148,45.7147,49.0233,52.3054,55.5593,58.7831,61.9752,65.1338,68.2571,71.3436,74.3916,77.3993,80.3652,83.2876,86.1651,88.996,91.7788,94.5119
0.015,54.2437,57.5234,60.7712,63.9853,67.1639,70.3051,73.4074,76.4689,79.4879,82.4628,85.3919,88.2737,91.1064,93.8885,96.6185,99.2949,101.9162
0.0152,62.5754,65.8121,69.0114,72.1713,75.29,78.3659,81.397,84.3818,87.3184,90.2053,93.0408,95.8232,98.551,101.2227,103.8366,106.3913,108.8854
0.0154,70.6795,73.859,76.9952,80.0865,83.1308,86.1265,89.0718,91.965,94.8044,97.5883,100.3151,102.9832,105.5911,108.1371,110.6199,113.038,115.3899
0.0156,78.5265,81.6344,84.6932,87.7012,90.6565,93.5574,96.4021,99.1889,101.9162,104.5823,107.1856,109.7245,112.1975,114.6032,116.9401,119.2067,121.4018
0.0158,86.0879,89.1097,92.0767,94.9869,97.8386,100.63,103.3595,106.0253,108.6258,111.1594,113.6245,116.0196,118.3433,120.5941,122.7706,124.8715,126.8955
0.016,93.3362,96.2576,99.1182,101.9162,104.6498,107.3173,109.9171,112.4474,114.9067,117.2934,119.606,121.8431,124.0032,126.085,128.0871,130.0084,131.8475
0.0162,100.245,103.0517,105.7917,108.4632,111.0644,113.5937,116.0495,118.4301,120.7341,122.9598,125.106,127.1711,129.1539,131.0531,132.8674,134.5957,136.2368
0.0164,106.7892,109.4671,112.0723,114.6032,117.058,119.4352,121.733,123.9501,126.085,128.1362,130.1023,131.9821,133.7744,135.4778,137.0914,138.614,140.0446
0.0166,112.945,115.4801,117.9368,120.3133,122.6079,124.8193,126.9457,128.9859,130.9383,132.8017,134.5749,136.2565,137.8455,139.3408,140.7414,142.0463,143.2545
