time(s),10ms,40ms,70ms,100ms
0.0308,-100.9664,-44.6641,-20.226,-7.9573
0.031,-94.2879,-38.1746,-13.6727,-1.3543
0.0312,-87.2109,-31.2874,-6.7227,5.6453
0.0314,-79.7639,-24.0309,0.5958,13.013
0.0316,-71.9766,-16.435,8.2529,20.719
0.0318,-63.8803,-8.5309,16.2173,28.732
0.032,-55.5076,-0.3511,24.4566,37.0196
0.0322,-46.8919,8.0711,32.9375,45.5484
0.0324,-38.0676,16.7011,41.6254,54.284
0.0326,-29.0702,25.5037,50.4851,63.1911
0.0328,-19.9355,34.443,59.4806,72.2337
0.033,-10.7,43.4825,68.5756,81.3754
0.0332,-1.4007,52.5853,77.7331,90.5794
0.0334,7.9254,61.7144,86.9161,99.8086
0.0336,17.2409,70.8326,96.0874,109.0258
0.0338,26.5089,79.9027,105.2099,118.1938
0.034,35.6921,88.8878,114.2465,127.2757
0.0342,44.7542,97.7512,123.1608,136.235
0.0344,53.6587,106.4569,131.9165,145.0354
0.0346,62.3704,114.9693,140.4782,153.6415
0.0348,70.8543,123.2537,148.8112,162.0186
0.035,79.0766,131.2764,156.8816,170.1329
0.0352,87.0047,139.0044,164.6568,177.9515
0.0354,94.6067,146.4063,172.1049,185.443
0.0356,101.8523,153.4516,179.1959,192.5769
0.0358,108.7127,160.1115,185.9007,199.3244
0.036,115.1604,166.3586,192.1919,205.658
0.0362,121.1697,172.1672,198.0439,211.5521
0.0364,126.7164,177.5132,203.4327,216.9827
0.0366,131.7785,182.3744,208.3359,221.9275
0.0368,136.3356,186.7306,212.7335,226.3664
0.037,140.3695,190.5636,216.6071,230.281
0.0372,143.8639,193.857,219.9405,233.6551
0.0374,146.8047,196.597,222.7198,236.4748
0.0376,149.1801,198.7716,224.9329,238.7282
0.0378,150.9805,200.3711,226.5704,240.4055
0.038,152.1983,201.3883,227.6248,241.4996
0.0382,152.8287,201.8181,228.0912,242.0053
0.0384,152.8687,201.6576,227.9667,241.9198
0.0386,152.3181,200.9067,227.251,241.2429
0.0388,151.1787,199.5671,225.946,239.9765
0.039,149.4548,197.6431,224.056,238.1248
0.0392,147.1529,195.1414,221.5876,235.6944
0.0394,144.282,192.0708,218.5497,232.6943
0.0396,140.853,188.4423,214.9533,229.1354
0.0398,136.8793,184.2694,210.8118,225.0311
0.04,132.3764,179.5675,206.1408,220.397
0.0402,127.3618,174.3542,200.9576,215.2506
0.0404,121.8551,168.649,195.282,209.6114
0.0406,115.8779,162.4736,189.1355,203.5011
0.0408,109.4534,155.8512,182.5415,196.9431
0.041,102.6069,148.8071,175.5252,189.9624
0.0412,95.3652,141.3681,168.1133,182.5859
0.0414,87.7566,133.5626,160.3344,174.8422
0.0416,79.8111,125.4204,152.2182,166.7609
0.0418,71.5597,116.9728,143.796,158.3733
0.042,63.0349,108.2521,135.1001,149.7118
0.0422,54.2701,99.2918,126.164,140.8099
0.0424,45.2998,90.1263,117.0222,131.702
0.0426,36.1591,80.7909,107.7099,122.4233
0.0428,26.8841,71.3215,98.263,113.0099
0.043,17.511,61.7545,88.7179,103.498
0.0432,8.0768,52.1267,79.1116,93.9246
0.0434,-1.3814,42.4754,69.4811,84.3268
0.0436,-10.8266,32.8376,59.8636,74.7417
0.0438,-20.2215,23.2504,50.2962,65.2065
0.044,-29.5293,13.7508,40.8159,55.7582
0.0442,-38.7134,4.3755,31.4593,46.4332
0.0444,-47.7375,-4.8395,22.2624,37.2678
0.0446,-56.5664,-13.8588,13.2608,28.2975
0.0448,-65.1653,-22.6475,4.4892,19.5569
0.045,-73.5003,-31.1719,-4.0186,11.0798
0.0452,-81.5387,-39.3992,-12.2299,2.8991
0.0454,-89.249,-47.2979,-20.1129,-4.9537
0.0456,-96.6007,-54.8375,-27.6375,-12.4482
0.0458,-103.5651,-61.9893,-34.7747,-19.5556
0.046,-110.1147,-68.7258,-41.4972,-26.2484
0.0462,-116.2239,-75.0213,-47.7791,-32.501
0.0464,-121.8686,-80.8517,-53.5965,-38.2893
0.0466,-127.0267,-86.1951,-58.9273,-43.5912
0.0468,-131.6779,-91.031,-63.7511,-48.3863
0.047,-135.804,-95.3413,-68.0498,-52.6565
0.0472,-139.3887,-99.1097,-71.8071,-56.3856
0.0474,-142.4182,-102.3222,-75.0089,-59.5594
0.0476,-144.8805,-104.967,-77.6435,-62.1663
0.0478,-146.7659,-107.0344,-79.7012,-64.1964
0.048,-148.0673,-108.5171,-81.1747,-65.6425
0.0482,-148.7794,-109.41,-82.0589,-66.4996
0.0484,-148.8997,-109.7105,-82.351,-66.7648
0.0486,-148.4276,-109.4181,-82.0507,-66.4379
0.0488,-147.3653,-108.5348,-81.16,-65.5207
0.049,-145.7169,-107.0649,-79.6831,-64.0176
0.0492,-143.489,-105.0149,-77.6266,-61.9351
0.0494,-140.6906,-102.3938,-74.9994,-59.282
0.0496,-137.3327,-99.2126,-71.8126,-56.0697
0.0498,-133.4288,-95.4847,-68.0795,-52.3112
0.05,-128.9942,-91.2257,-63.8157,-48.0222
0.0502,-124.0466,-86.4529,-59.0386,-43.2201
0.0504,-118.6055,-81.1862,-53.7679,-37.9247
0.0506,-112.6926,-75.447,-48.0252,-32.1574
0.0508,-106.3312,-69.2586,-41.8338,-25.9417
0.051,-99.5465,-62.6464,-35.2189,-19.3027
0.0512,-92.3654,-55.6371,-28.2073,-12.2672
0.0514,-84.8162,-48.2592,-20.8275,-4.8638
0.0516,-76.9289,-40.5425,-13.1094,2.8779
0.0518,-68.7346,-32.5182,-5.084,10.9265
0.052,-60.2658,-24.2187,3.2161,19.2498
0.0522,-51.5558,-15.6775,11.7576,27.8141
0.0524,-42.6392,-6.9291,20.5059,36.5851
0.0526,-33.5513,1.9914,29.4258,45.5275
0.0528,-24.3278,11.048,38.4815,54.6054
0.053,-15.0054,20.2041,47.6363,63.7824
0.0532,-5.6208,29.4231,56.8536,73.0216
0.0534,3.7888,38.6677,66.0962,82.2858
