time(s),correct_value
0.1404,44.3562
0.1406,53.266
0.1408,61.9657
0.141,70.4207
0.1412,78.5979
0.1414,86.4648
0.1416,93.9906
0.1418,101.1454
0.142,107.901
0.1422,114.2307
0.1424,120.1097
0.1426,125.5146
0.1428,130.4242
0.143,134.8191
0.1432,138.6819
0.1434,141.9974
0.1436,144.7525
0.1438,146.9363
0.144,148.5402
0.1442,149.5579
0.1444,149.9854
0.1446,149.8209
0.1448,149.0652
0.145,147.7212
0.1452,145.7942
0.1454,143.2918
0.1456,140.2239
0.1458,136.6025
0.146,132.4421
0.1462,127.759
0.1464,122.5717
0.1466,116.9007
0.1468,110.7683
0.147,104.1988
0.1472,97.218
0.1474,89.8535
0.1476,82.1345
0.1478,74.0913
0.148,65.7557
0.1482,57.1606
0.1484,48.3399
0.1486,39.3284
0.1488,30.1617
0.149,20.876
0.1492,11.5079
0.1494,2.0943
0.1496,-7.3275
0.1498,-16.7203
0.15,-26.0472
0.1502,-35.2713
0.1504,-44.3562
0.1506,-53.266
0.1508,-61.9657
0.151,-70.4207
0.1512,-78.5979
0.1514,-86.4648
0.1516,-93.9906
0.1518,-101.1454
0.152,-107.901
0.1522,-114.2307
0.1524,-120.1097
0.1526,-125.5146
0.1528,-130.4242
0.153,-134.8191
0.1532,-138.6819
0.1534,-141.9974
0.1536,-144.7525
0.1538,-146.9363
0.154,-148.5402
0.1542,-149.5579
0.1544,-149.9854
0.1546,-149.8209
0.1548,-149.0652
0.155,-147.7212
0.1552,-145.7942
0.1554,-143.2918
0.1556,-140.2239
0.1558,-136.6025
0.156,-132.4421
0.1562,-127.759
0.1564,-122.5717
0.1566,-116.9007
0.1568,-110.7683
0.157,-104.1988
0.1572,-97.218
0.1574,-89.8535
0.1576,-82.1345
0.1578,-74.0913
0.158,-65.7557
0.1582,-57.1606
0.1584,-48.3399
0.1586,-39.3284
0.1588,-30.1617
0.159,-20.876
0.1592,-11.5079
0.1594,-2.0943
0.1596,7.3275
0.1598,16.7203
0.16,26.0472
0.1602,35.2713
0.1604,44.3562
0.1606,53.266
0.1608,61.9657
0.161,70.4207
0.1612,78.5979
0.1614,86.4648
0.1616,93.9906
0.1618,101.1454
0.162,107.901
0.1622,114.2307
0.1624,120.1097
0.1626,125.5146
0.1628,130.4242
0.163,134.8191
0.1632,138.6819
0.1634,141.9974
0.1636,144.7525
0.1638,146.9363
0.164,148.5402
0.1642,149.5579
0.1644,149.9854
0.1646,149.8209
0.1648,149.0652
0.165,147.7212
0.1652,145.7942
0.1654,143.2918
0.1656,140.2239
0.1658,136.6025
0.166,132.4421
0.1662,127.759
0.1664,122.5717
0.1666,116.9007
0.1668,110.7683
0.167,104.1988
0.1672,97.218
0.1674,89.8535
0.1676,82.1345
0.1678,74.0913
0.168,65.7557
0.1682,57.1606
0.1684,48.3399
0.1686,39.3284
0.1688,30.1617
0.169,20.876
0.1692,11.5079
0.1694,2.0943
0.1696,-7.3275
0.1698,-16.7203
0.17,-26.0472
0.1702,-35.2713
0.1704,-44.3562
0.1706,-53.266
0.1708,-61.9657
0.171,-70.4207
0.1712,-78.5979
0.1714,-86.4648
0.1716,-93.9906
0.1718,-101.1454
0.172,-107.901
0.1722,-114.2307
0.1724,-120.1097
0.1726,-125.5146
0.1728,-130.4242
0.173,-134.8191
0.1732,-138.6819
0.1734,-141.9974
0.1736,-144.7525
0.1738,-146.9363
0.174,-148.5402
0.1742,-149.5579
0.1744,-149.9854
0.1746,-149.8209
0.1748,-149.0652
0.175,-147.7212
0.1752,-145.7942
0.1754,-143.2918
0.1756,-140.2239
0.1758,-136.6025
0.176,-132.4421
0.1762,-127.759
0.1764,-122.5717
0.1766,-116.9007
0.1768,-110.7683
0.177,-104.1988
0.1772,-97.218
0.1774,-89.8535
0.1776,-82.1345
0.1778,-74.0913
0.178,-65.7557
0.1782,-57.1606
0.1784,-48.3399
0.1786,-39.3284
0.1788,-30.1617
0.179,-20.876
0.1792,-11.5079
0.1794,-2.0943
0.1796,7.3275
0.1798,16.7203
0.18,26.0472
0.1802,35.2713
0.1804,44.3562
0.1806,53.266
0.1808,61.9657
0.181,70.4207
0.1812,78.5979
0.1814,86.4648
0.1816,93.9906
0.1818,101.1454
0.182,107.901
0.1822,114.2307
0.1824,120.1097
0.1826,125.5146
0.1828,130.4242
0.183,134.8191
0.1832,138.6819
0.1834,141.9974
0.1836,144.7525
0.1838,146.9363
0.184,148.5402
0.1842,149.5579
0.1844,149.9854
0.1846,149.8209
0.1848,149.0652
0.185,147.7212
0.1852,145.7942
0.1854,143.2918
0.1856,140.2239
0.1858,136.6025
0.186,132.4421
0.1862,127.759
0.1864,122.5717
0.1866,116.9007
0.1868,110.7683
0.187,104.1988
0.1872,97.218
0.1874,89.8535
0.1876,82.1345
0.1878,74.0913
0.188,65.7557
0.1882,57.1606
0.1884,48.3399
0.1886,39.3284
