time(s),10ms,40ms,70ms,100ms
0.0318,-94.9075,-33.4082,-5.9102,7.9951
0.032,-101.7866,-40.5016,-12.9375,1.0214
0.0322,-108.2375,-47.1676,-19.5382,-5.526
0.0324,-114.2351,-53.381,-25.6873,-11.6222
0.0326,-119.7564,-59.1187,-31.3617,-17.2439
0.0328,-124.78,-64.3595,-36.5399,-22.3698
0.033,-129.2866,-69.0839,-41.2026,-26.9805
0.0332,-133.259,-73.2745,-45.3325,-31.0588
0.0334,-136.6818,-76.9162,-48.9143,-34.5893
0.0336,-139.5422,-79.9959,-51.935,-37.559
0.0338,-141.8292,-82.5027,-54.3836,-39.957
0.034,-143.5342,-84.428,-56.2516,-41.7747
0.0342,-144.651,-85.7654,-57.5326,-43.0057
0.0344,-145.1757,-86.5111,-58.2226,-43.646
0.0346,-145.1065,-86.6632,-58.32,-43.694
0.0348,-144.4441,-86.2225,-57.8253,-43.1504
0.035,-143.1916,-85.1919,-56.7416,-42.0179
0.0352,-141.3542,-83.5767,-55.0741,-40.3021
0.0354,-138.9398,-81.3846,-52.8306,-38.0105
0.0356,-135.958,-78.6255,-50.0207,-35.153
0.0358,-132.4212,-75.3114,-46.6568,-31.7416
0.036,-128.3436,-71.4567,-42.753,-27.7907
0.0362,-123.7416,-67.0778,-38.3258,-23.3167
0.0364,-118.6339,-62.1931,-33.3937,-18.3381
0.0366,-113.0408,-56.8232,-27.977,-12.8753
0.0368,-106.9849,-50.9904,-22.0984,-6.9507
0.037,-100.4902,-44.719,-15.7818,-0.5886
0.0372,-93.5829,-38.0349,-9.0533,6.1852
0.0374,-86.2904,-30.9657,-1.9404,13.343
0.0376,-78.6419,-23.5403,5.5279,20.8559
0.0378,-70.6679,-15.7893,13.321,28.6933
0.038,-62.4001,-7.7445,21.4072,36.8235
0.0382,-53.8714,0.5613,29.7536,45.2137
0.0384,-45.1158,9.0941,38.3263,53.8299
0.0386,-36.1682,17.8191,47.0906,62.6372
0.0388,-27.0641,26.7008,56.0107,71.6002
0.039,-17.8397,35.7029,65.0505,80.6826
0.0392,-8.5317,44.7888,74.1735,89.8478
0.0394,0.8229,53.9216,83.3426,99.0588
0.0396,10.1869,63.064,92.5206,108.2785
0.0398,19.5232,72.1789,101.6704,117.4696
0.04,28.7946,81.2291,110.7549,126.5952
0.0402,37.9643,90.178,119.7374,135.6184
0.0404,46.9958,98.9891,128.5813,144.5028
